'TITLE',"'AUTHOR (first, last)'","'AUTHOR (last, first)'",'DATE','LCC','DDC','ISBNs',"'PUBLICATION INFO'",'COMMENT','RATINGS','REVIEWS',"'ENTRY DATE'",'COPIES','SUBJECTS','COLLECTIONS','TAGS'
"The League of Extraordinary Gentlemen: Century 1910","Alan Moore","Moore, Alan",2009,,,[0861661605],"DC COMICS (2009), Edition: First Printing, Paperback, 80 pages",,0,,"2014-01-21 18:50:17",1,,"Your library","books,alternate history,metafiction,graphic novels & comics"
"The League of Extraordinary Gentlemen: The Black Dossier","Alan Moore","Moore, Alan",2007,,,[140120306X],"WildStorm (2007), Edition: First Edition, Hardcover, 208 pages",,0,,"2014-01-21 18:50:18",1,,"Your library","books,alternate history,sexuality,metafiction,graphic novels & comics"
"English Grammar for Students of Russian: The Study Guide for Those Learning Russian (English grammar series)","Edwina Jannie Cruise","Cruise, Edwina Jannie",1993,,,[0934034214],"Olivia & Hill Press (1993), Edition: 2, Paperback, 171 pages",,0,,"2014-01-21 18:50:18",1,"English language > Grammar, Comparative > Russian > 
English language > Grammatical categories > 
English language > Russian
Russian language > English
Russian language > Grammar, Comparative > English > 
Russian language > Grammatical categories > 
Russian language > Textbooks for foreign speakers > English","Your library","foreign language,russia,nonfiction"
"Hellboy, Vol. 2: Wake the Devil","Mike Mignola","Mignola, Mike",2003,,,[1593070950],"Dark Horse (2003), Edition: 2nd, Paperback, 144 pages",,0,,"2014-01-21 18:50:18",1,,"Your library","horror,occult,graphic novels & comics"
"Hellboy, Vol. 1: Seed of Destruction","Mike Mignola","Mignola, Mike",2003,,,[1593070942],"Dark Horse (2003), Edition: 3rd, Paperback, 128 pages",,0,,"2014-01-21 18:50:18",1,"Comic books, strips, etc. > United States > 
Demonology > Comic books, strips, etc > 
Graphic novels > 
Hellboy (Fictitious character : Mignola) > Comic books, strips, etc > 
Horror comic books, strips, etc > 
Private investigators > Comic books, strips, etc","Your library","horror,occult,graphic novels & comics"
"Bonk: The Curious Coupling of Science and Sex","Mary Roach","Roach, Mary",2008,,,[0393064646],"W. W. Norton & Co. (2008), Hardcover, 320 pages",,0,,"2014-01-21 18:50:18",1,"Sex (Biology) > Popular works","Your library","sexuality,nonfiction"
"Hellboy, Vol. 4: The Right Hand of Doom","Mike Mignola","Mignola, Mike",2004,,,[1593070934],"Dark Horse (2004), Edition: 2nd, Paperback, 144 pages",,0,,"2014-01-21 18:50:18",1,,"Your library","horror,occult,hand of glory,graphic novels & comics"
"The Pleasure of Finding Things Out: The Best Short Works of Richard P. Feynman","Richard P. Feynman","Feynman, Richard P.",2000,,,[0738203491],"Basic Books (2000), Edition: 1, Paperback, 270 pages",,0,,"2014-01-21 18:50:18",1,"Physics > 
Science > 
Science","Your library","physics,science,essays,nonfiction"
"Transmetropolitan, Vol. 2: Lust For Life","Warren Ellis","Ellis, Warren",2009,,,[1401222617],"Vertigo (2009), Edition: New edition, Paperback, 144 pages",,0,,"2014-01-21 18:50:18",1,"Comic books, strips, etc","Your library","journalism,cyberpunk,graphic novels & comics,RECOMMENDER:Tessa"
"Transmetropolitan, Vol. 4: The New Scum","Warren Ellis","Ellis, Warren",2009,,,[1401224903],"Vertigo (2009), Edition: Revised, Paperback, 160 pages",,0,,"2014-01-21 18:50:19",1,"Comic books, strips, etc","Your library","journalism,cyberpunk,graphic novels & comics,RECOMMENDER:Tessa"
"Stiff: The Curious Lives of Human Cadavers","Mary Roach","Roach, Mary",2004,,,[9780393324822],"W. W. Norton & Company (2004), Paperback, 320 pages",,0,,"2014-01-21 18:50:19",1,"Autopsy
Cadaver
Dead > 
Dead
Dissection
Human dissection > 
Human dissection
Human experimentation in medicine > 
Human experimentation in medicine","Your library","death,nonfiction"
"The Malleus Maleficarum of Heinrich Kramer and James Sprenger (Dover Occult)","Heinrich Kramer","Kramer, Heinrich",1971,,,[0486228029],"Dover (1971), Edition: 1st, Paperback, 278 pages",,0,,"2014-01-21 18:50:19",1,"Criminal law > 
Criminal procedure > 
Criminal procedure (Canon law) > 
Criminal procedure (Canon law)
Demonology > 
Demonology > Early works to 1800 > 
Demonology > Early works to 1800
Demonology
Witchcraft > 
Witchcraft > Early works to 1800 > 
Witchcraft > Early works to 1800
Witchcraft","Your library","occult,witchcraft,christianity,nonfiction,medieval,inquisition,primary source"
"The Books of Magic","Neil Gaiman","Gaiman, Neil",1993,,,[1563890828],"DC Comics (1993), Paperback, 200 pages",,0,,"2014-01-21 18:50:19",1,"Comic books, strips, etc
Graphic novels
Magic > Comic books, strips, etc > 
Magic > Comic books, strips, etc
Occultism > Comic books, strips, etc > 
Occultism > Comic books, strips, etc","Your library","magic,graphic novels & comics"
"Transmetropolitan Vol. 5: Lonely City (New Edition)","Warren Ellis","Ellis, Warren",2009,,,[1401228194],"DC Comics (2009), Edition: New, Paperback, 144 pages",,0,,"2014-01-21 18:50:19",1,,"Your library","journalism,cyberpunk,graphic novels & comics,RECOMMENDER:Tessa"
