Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
5933841,Inherent Vice,Thomas Pynchon,"Pynchon, Thomas",,"=""1594202249""","=""9781594202247""",0,3.72,The Penguin Press,Hardcover,369,2009,2009,2015/01/02,2014/12/31,,,read,,,,1,,,0,,,,,
20662728,"Clariel (Abhorsen, #4)",Garth Nix,"Nix, Garth",,"=""006156155X""","=""9780061561559""",0,3.79,HarperCollins,Hardcover,382,2014,2014,2014/12/30,2014/12/28,,,read,,,,1,,,0,,,,,
6557014,The Good Thief,Hannah Tinti,"Tinti, Hannah",,"=""0385337469""","=""9780385337465""",0,3.57,Dial Press Trade Paperbacks,Paperback,327,2009,2008,2014/12/28,2014/12/24,,,read,,,,1,,,0,,,,,
15799394,"Hellblazer, Volume 5: Dangerous Habits",Jamie Delano,"Delano, Jamie","Garth Ennis, William Simpson, Sean Phillips, Steve Pugh, Dave McKean","=""1401238025""","=""9781401238025""",0,4.32,Vertigo,Paperback,352,2013,2013,2014/12/28,2014/12/13,,,read,,,,1,,,0,,,,,
119117,The Quantity Theory of Insanity,Will Self,"Self, Will",,"=""0679750940""","=""9780679750949""",0,3.69,Vintage,Paperback,224,1996,1991,2014/12/13,2014/12/08,,,read,,,,1,,,0,,,,,
889427,More Tales of Pirx the Pilot,Stanisław Lem,"Lem, Stanisław",,"=""0156621436""","=""9780156621434""",0,4.27,Mariner Books,Paperback,228,1983,1968,2014/12/03,2014/11/25,,,read,,,,1,,,0,,,,,
900750,"Hellboy, Vol. 7: The Troll Witch and Others (Hellboy, #7)",Mike Mignola,"Mignola, Mike","Richard Corben, P. Craig Russell","=""1593078609""","=""9781593078607""",0,4.21,Dark Horse,Paperback,144,2007,2006,2014/12/03,2014/12/03,,,read,,,,1,,,0,,,,,
102463,"Hellboy, Vol. 6: Strange Places (Hellboy, #6)",Mike Mignola,"Mignola, Mike",,"=""1593074751""","=""9781593074753""",0,4.28,Dark Horse Books,Paperback,128,2006,2006,2014/12/03,2014/12/03,,,read,,,,1,,,0,,,,,
102460,"Hellboy, Vol. 4: The Right Hand of Doom (Hellboy, #4)",Mike Mignola,"Mignola, Mike",,"=""1593070934""","=""9781593070939""",0,4.33,Dark Horse Books,Paperback,144,2004,2000,2014/12/02,2014/12/02,,,read,,,,1,,,0,,,,,
423113,Hellboy Volume 3: The Chained Coffin and Others,Mike Mignola,"Mignola, Mike",,"=""1569713499""","=""9781569713495""",0,4.21,Dark Horse Comics,Paperback,117,1998,1998,2014/12/02,2014/11/30,,,read,,,,1,,,0,,,,,
102459,"Hellboy, Vol. 2: Wake the Devil (Hellboy, #2)",Mike Mignola,"Mignola, Mike",,"=""1593070950""","=""9781593070953""",0,4.20,Dark Horse Books,Paperback,144,2004,1994,2014/11/30,2014/11/30,,,read,,,,1,,,0,,,,,
